1924 Philadelphia Phillies	0.362	4.45
1924 Cleveland Indians	0.438	4.93
1924 New York Yankees	0.582	5.22
1924 St. Louis Browns	0.484	5.03
1924 Cincinnati Reds	0.542	4.24
1924 Pittsburgh Pirates	0.588	4.73
1924 Chicago White Sox	0.429	5.15
1924 Brooklyn Robins	0.597	4.66
1924 Boston Braves	0.344	3.38
1924 Chicago Cubs	0.526	4.53
1924 New York Giants	0.604	5.56
1924 St. Louis Cardinals	0.422	4.81
1924 Detroit Tigers	0.551	5.44
1924 Washington Senators	0.59	4.84
1924 Boston Red Sox	0.427	4.69
1925 Boston Red Sox	0.309	4.2
1925 Washington Senators	0.632	5.45
1925 New York Giants	0.566	4.84
1925 Philadelphia Athletics	0.575	5.43
1925 Brooklyn Robins	0.444	5.14
1925 Boston Braves	0.458	4.63
1925 Cincinnati Reds	0.523	4.51
1925 Philadelphia Phillies	0.444	5.31
1925 Pittsburgh Pirates	0.621	5.96
1925 St. Louis Cardinals	0.503	5.41
1925 Chicago White Sox	0.513	5.27
1925 St. Louis Browns	0.532	5.84
1925 Chicago Cubs	0.442	4.69
1925 Cleveland Indians	0.452	5.05
1925 Detroit Tigers	0.519	5.79
1925 New York Yankees	0.442	4.53
1926 Philadelphia Athletics	0.553	4.51
1926 New York Giants	0.49	4.39
1926 Washington Senators	0.533	5.28
1926 Philadelphia Phillies	0.382	4.52
1926 Boston Braves	0.431	4.08
1926 Boston Red Sox	0.299	3.65
1926 Cleveland Indians	0.571	4.79
1926 Chicago White Sox	0.523	4.71
1926 New York Yankees	0.587	5.46
1926 St. Louis Browns	0.4	4.4
1926 Brooklyn Robins	0.458	4.02
1926 Chicago Cubs	0.529	4.4
1926 St. Louis Cardinals	0.571	5.24
1926 Detroit Tigers	0.503	5.05
1926 Cincinnati Reds	0.554	4.76
1926 Pittsburgh Pirates	0.535	4.9
1927 Chicago White Sox	0.458	4.33
